Year,Country,id_3char,ECI,rank_cpi
1968,Burma,mmr,-1.0687200000000001,85.0
1968,South Korea,kor,0.708068,24.0
1968,Kuwait,kwt,-1.1022299999999998,87.0
1968,Hong Kong,hkg,1.28635,15.0
1968,Indonesia,idn,-1.10962,88.0
1968,India,ind,-0.06932100000000001,45.0
1968,China,chn,0.5647770000000001,29.0
1968,Israel,isr,0.6274109999999999,26.0
1968,Jordan,jor,0.49519300000000005,30.0
1968,Japan,jpn,1.9279700000000002,6.0
1968,Cambodia,khm,-0.870425,75.0
1968,Iran,irn,-0.823465,70.0
1969,Portugal,prt,0.946908,18.0
1969,Poland,pol,0.893808,19.0
1969,Norway,nor,1.38927,12.0
1969,Netherlands,nld,1.28544,14.0
1969,Italy,ita,1.8044200000000001,8.0
1969,Ireland,irl,0.879141,21.0
1969,Hungary,hun,1.0234299999999998,17.0
1969,Greece,grc,0.11792899999999999,40.0
1969,United Kingdom,gbr,2.03973,3.0
1969,Vietnam,vnm,-0.201158,47.0
1969,Finland,fin,1.45759,11.0
1969,Spain,esp,0.8054640000000001,23.0
1969,Denmark,dnk,1.32305,13.0
1969,Germany,deu,2.28258,1.0
1969,Switzerland,che,2.09088,2.0
1969,Bulgaria,bgr,0.530517,33.0
1969,Belgium,bel,1.52145,10.0
1969,Austria,aut,1.92701,6.0
1969,Albania,alb,0.061086,43.0
1969,Romania,rou,0.633043,27.0
1969,France,fra,1.7301799999999998,9.0
1969,Sweden,swe,1.97973,4.0
1969,United States,usa,1.82113,7.0
1969,Costa Rica,cri,0.5435810000000001,30.0
1969,Turkey,tur,-0.8500969999999999,76.0
1969,Uruguay,ury,0.180582,35.0
1969,Paraguay,pry,-0.674242,67.0
1969,Peru,per,-0.688604,68.0
1969,Ecuador,ecu,-0.911034,80.0
1969,Colombia,col,-0.360003,52.0
1969,Chile,chl,-0.017258000000000003,45.0
1969,Brazil,bra,-0.565923,63.0
1969,Bolivia,bol,-0.9269639999999999,83.0
1969,Argentina,arg,-0.248754,50.0
1969,New Zealand,nzl,0.122129,39.0
1969,Australia,aus,0.135157,37.0
1969,Trinidad and Tobago,tto,0.136406,36.0
1969,El Salvador,slv,0.5477529999999999,29.0
1969,Panama,pan,0.8858790000000001,20.0
1969,Nicaragua,nic,0.111926,42.0
1969,Mexico,mex,0.11361500000000001,41.0
1969,Jamaica,jam,-0.358714,51.0
1969,Honduras,hnd,-0.20942,48.0
1969,Guatemala,gtm,0.351906,34.0
1969,Dominican Republic,dom,-0.5579999999999999,62.0
1969,Canada,can,0.829068,22.0
1969,Venezuela,ven,-0.42470699999999995,56.0
1969,Thailand,tha,-0.841727,72.0
1969,Singapore,sgp,0.13184200000000001,38.0
1969,Tanzania,tza,-1.30574,91.0
1969,Tunisia,tun,-0.084226,46.0
1969,Togo,tgo,-1.36065,92.0
1969,Senegal,sen,-0.42561400000000005,57.0
1969,Sudan,sdn,-1.39571,93.0
1969,Nigeria,nga,-1.6612,96.0
1969,Mauritania,mrt,-0.541496,61.0
1969,Mozambique,moz,-0.8218129999999999,71.0
1969,Madagascar,mdg,-1.05855,85.0
1969,Morocco,mar,-0.411634,55.0
1969,Kenya,ken,-0.752076,69.0
1969,Guinea,gin,-1.16134,88.0
